Date,Close,High,Low,Open,Volume,Ticker,Industry
2024-06-03,117.01136779785156,119.1773188905426,115.75371558283247,119.1773188905426,768300,JBL,Information Technology
2024-06-04,113.99699401855469,115.9134113334608,113.8572557319573,115.9134113334608,788400,JBL,Information Technology
2024-06-05,115.75372314453125,115.81360881076999,113.51790276134727,114.78553092611915,939100,JBL,Information Technology
2024-06-06,114.1067886352539,116.02320593606532,113.76742640320342,115.28458819588776,826000,JBL,Information Technology
2024-06-07,113.6676025390625,114.19662044615137,112.76928719852452,113.51788839241625,964800,JBL,Information Technology
2024-06-10,116.88160705566406,117.04131231105113,112.9190098845695,112.9190098845695,997600,JBL,Information Technology
2024-06-11,117.5303955078125,117.80987208762114,115.55408486961971,116.40250570639462,1120700,JBL,Information Technology
2024-06-12,120.40502166748047,120.65455541615191,117.61024825145982,118.81799068120968,1069400,JBL,Information Technology
2024-06-13,120.8741455078125,120.94401465235664,117.91966685754234,120.42498780933803,738800,JBL,Information Technology
2024-06-14,119.25717163085938,119.89597741350518,118.15921705271914,119.62647670244691,915400,JBL,Information Technology
2024-06-17,124.24784088134766,124.78682704846754,118.89783698514522,119.24718269167302,1919100,JBL,Information Technology
2024-06-18,125.99458312988281,128.97900461753534,125.36575321251918,125.37573669466488,3013800,JBL,Information Technology
2024-06-20,111.58150482177734,124.30772518877313,110.81293666061137,120.03570890361196,5579100,JBL,Information Technology
2024-06-21,112.97889709472656,114.91527371371316,110.26396882029326,110.79297912380932,4897500,JBL,Information Technology
2024-06-24,112.769287109375,115.38439573759709,112.39997444588758,113.05873953610565,2920500,JBL,Information Technology
2024-06-25,114.16667938232422,114.26649897517704,112.30017179256225,112.30017179256225,1784700,JBL,Information Technology
2024-06-26,112.03067016601562,112.75931206602684,110.62330377717986,112.68944292069692,1852500,JBL,Information Technology
2024-06-27,107.7187271118164,112.9589358491417,107.57898882136766,112.04065347900256,2356200,JBL,Information Technology
2024-06-28,108.58710479736328,109.99447115162187,107.6288961355953,107.9283320588672,5682600,JBL,Information Technology
